question,answer
电压直角波经过串联电容后，波形将发生变化，变成什么波。,指数     
自持放电和非自持放电,必须借助外力因素才能维持的放电称为非自持放电，不需其他任何加外电离因素而仅由电场的作用就能自行维持的放电称为自持放电。
介质损失角正切,电流与电压的夹角 是功率因数角，令功率因数角的余角为δ ， 显然是中的有功分量，其越大，说明介质损耗越大，因此δ角的大小可以反映介质损耗的大小。于是把δ角定义为介质损耗角。
吸收比和极化指数,加压60秒的绝缘电阻与加压15秒的绝缘电阻的比值为吸收比。加压10分钟的绝缘电阻与加压1分钟的绝缘电阻的比值为极化指数。
反击和绕击,雷击线路杆塔顶部时，由于塔顶电位与导线电位相差很大，可能引起绝缘子串的闪络，即发生反击。雷电绕过避雷线击于导线，直接在导线上引起过电压，称为绕击。
保护角,保护角是指避雷线与所保护的外侧导线之间的连线与经过避雷线的铅垂线之间的夹角。
简述汤逊理论和流注理论的异同点，并说明各自的适用范围。,汤逊理论和流注理论都是解释均匀电场的气体放电理论。前者适用于均匀电场、低气压、短间隙的条件下；后者适用于均匀电场、高气压、长间隙的条件下。不同点（1）放电外形  流注放电是具有通道形式的。根据汤逊理论，气体放电应在整个间隙中均匀连续地发展。（2）放电时间  根据流注理论，二次电子崩的起始电子由光电离形成，而光子的速度远比电子的大，二次电子崩又是在加强了的电场中，所以流注发展更迅速，击穿时间比由汤逊理论推算的小得多。（3）阴极材料的影响  根据流注理论，大气条件下气体放电的发展不是依靠正离子使阴极表面电离形成的二次电子维持的，而是靠空间光电离产生电子维持的，故阴极材料对气体击穿电压没有影响。根据汤逊理论，阴极材料的性质在击穿过程中应起一定作用。实验表明，低气压下阴极材料对击穿电压有一定影响。
 试解释沿面闪络电压明显低于纯空气间隙的击穿电压的原因。,当两电极间的电压逐渐升高时，放电总是发生在沿固体介质的表面上，此时的沿面闪络电压已比纯空气间隙的击穿电压低很多，其原因是原先的均匀电场发生了畸变。产生这种情况的原因有（1）固体介质表面不是绝对光滑，存在一定的粗糙程度，这使得表面电场分布发生畸变。（2）固体介质表面电阻不可能完全均匀，各处表面电阻不相同。（3）固体介质与空气有接触的情况。（4）固体介质与电极有接触的状况。
固体电介质的电击穿和热击穿有什么区别？,固体电介质的电击穿过程与气体放电中的汤逊理论及液体的电击穿理论相似，是以考虑在固体电介质中发生碰撞电离为基础的，不考虑由边缘效应、介质劣化等原因引起的击穿。电击穿的特点是电压作用时间短，击穿电压高，击穿电压与环境温度无关，与电场均匀程度有密切关系，与电压作用时间关系很小。电介质的热击穿是由介质内部的热不平衡过程所造成的。热击穿的特点是击穿电压随环境温度的升高按指数规律降低；击穿电压与散热条件有关，如介质厚度大，则散热困难，因此击穿电压并不随介质厚度成正比增加；当电压频率增大时，击穿电压将下降；击穿电压与电压作用时间有关。
在测试电气设备的介质损失角正切值时什么时候用正接线，什么时候用反接线；正接线和反接线各有什么特点？,使用西林电桥的正接线时，高压西林电桥的高压桥臂的阻抗比对应的低压臂阻抗大得多，所以电桥上施加的电压绝大部分都降落在高压桥臂上，只要把试品和标准电容器放在高压保护区，用屏蔽线从其低压端连接到低压桥臂上，则在低压桥臂上调节R3和C4就很安全，而且测量准确度较高。但这种方法要求被试品高低压端均对地 绝缘。使用反接线时，即将R3和C4接在高压端，由于R3和C4处于高电位。桥体位于高压侧，抗干扰能力和准确度都不如正接线。现场试验通常采用反接线试验方法。
局部放电是怎样产生的？在电力系统中常用什么方法进行测量，为什么？,杂质存在导致电场分布不均匀，电压U达到一定值时，会首先在气泡或杂质中产生放电，既局部放电。 局部放电的检测方法 ①直接用局部放电检测仪进行测量，用专用的无晕电源设备。 ②油色谱分析主要是检测绝缘油中乙炔气体的含量。
测试电容量较大的被试品的绝缘电阻时如何防止被试品反放电烧坏兆欧表？为什么要对被试品充分放电？,测试电容量较大的被试品的绝缘电阻时一定要在停止摇动兆欧表之前，先解开被试品的接线。电容量较大的被试品在测完接地电阻时，根据电容充放电的原理，往往会带上大量的电荷，所以必须对其充分放电。
测量电气设备的介损tgδ能发现什么缺陷？不能发现什么缺陷？在测试时要注意什么？,能发现的缺陷（1）绝缘体受潮，绝缘老化；（2）贯穿性缺陷；（3）分布式缺陷；（4）小型设备集中性缺陷 不能发现的缺陷 大型设备的局部性缺陷可能被掩盖，所以现场仍要做分解试验。在测试时要注意（1）必须有良好的接地；（2）反接线要注意引线的悬空处理；（3）被试品表面要擦拭干净；（4）能做分解试验的要尽量做分解试验。
输电线路遭受雷击发生跳闸需要满足的两个条件，并解释建弧率的概念。,输电线路遭受雷击发生跳闸需要满足两个条件。首先是直击线路的雷电流超过线路的耐雷水平，线路绝缘将发生冲击闪络。但是它的持续时间只有几十微秒，线路开关还来不及跳闸，因此必须满足第二个条件——冲击电弧转化为稳定的工频电弧，才能导致线路跳闸。冲击闪络转化为稳定的工频电弧的概率，称为建弧率。
ZnO避雷器的主要优点。,与普通阀型避雷器相比，ZnO避雷器具有优越的保护性能。（1） 无间隙。在正常工作电压下，ZnO电阻片相当于一绝缘体，工作电压不会使ZnO电阻片烧坏，因此可以不用串联火花间隙。（2） 无续流。当电网中出现过电压时，通过避雷器的电流增大，ZnO电阻片上的残压受其良好的非线性特性控制；当过电压作用结束后，ZnO电阻片又恢复绝缘体状态，续流仅为微安级，实际上可认为无续流。（3） 电气设备所受过电压能量可以降低。虽然在10kA雷电流下的残压值ZnO避雷器与SiC避雷器相同，但由于后者只在串联火花间隙放电后才有电流流过，而前者在整个过电压过程中都有电流流过，因此降低了作用在变电站电气设备上的过电压幅值。（4） 通流容量大。ZnO避雷器的通流能力，完全不受串联间隙被灼伤的制约，仅与阀片本身的通流能力有关。（5） 易于制成直流避雷器。因为直流续流不象工频续流一样存在自然零点，所以直流避雷器如用串联间隙就难以灭弧。ZnO避雷器没有串联间隙，所以易于制成直流避雷器。
某油罐直径为10m ，高10米，现采用单根避雷针进行保护，避雷针距离油罐壁为5m，请问避雷针的高度应是多少？,解根据题意可知hx=10m，rx=10+5=15 m，求h=?当hx≥h 时，有rx=（h- hx）p 15=(h-10)×1解得 h=25m 因为h=25m时不满足hx≥h，所以应按hx＜h算rx=(1.5h-2hx)p 15=(1.5h-2hx) ×1解得h=23.3m 所以避雷针的高度至少应是23.3m.。
气体分子或原子产生的三种状态,原态（中性） 激发态（激励态）从外界获得能量，电子发生轨道跃迁。电离态（游离态）当获得足够能量时，电子变带电电子，原来变正离子。
电离种类,A碰撞电离 B光电离C热电离D表面电离
带电离子的消失,A扩散，会引起浓度差。B复和（中和）正负电荷相遇中和，释放能量。C附着效应，部分电负性气体分子对负电荷有较强吸附能力，使之变为负离子。
汤逊理论的使用条件,使用条件均匀电子，低电压
巴申定律的物理意义,①p s（s一定）p增大，Uf 增大。②p s（s一定）p减小，Uf 减小。③p s不变p增大，密度增大，无效碰撞增加，提高了电量的强度，Uf 增大。P减小，密度减小，能碰撞的数量减小，能量提高，Uf 增大。P s不变，Uf 不变。
巴申定律的应用,通过增加或者减少气体的压力来提高气体的绝缘强度。如高压直流二极管（增加气体的压力）。减小气体的压力用真空断路器。
流柱理论的使用范围,a、放电时间极短b、放电的细分数通道c、与阴极的材料无关d、当ps增大的时候，Uf 值与实测值差别大。
流柱理论与汤逊理论的关系,a、流柱理论是对汤逊理论的一个补充b、发生碰撞电离c、有光电离，电场
极不均匀电场的2个放电特点,电晕放电，极性效应
电晕放电的特点,a、电晕放电是极不均匀电场所持有的一种自持放电形式，是极不均匀电场的特征之一。b、电晕放电会引起能量消耗。c、电晕放电的脉冲现象会产生高频电磁波，对无线电通讯造成干扰。d、电晕放电还使空气发生化学反应，生成臭氧、氮氧化物是强氧化剂和腐蚀剂，会对气体中的固体介质及金属电极造成损伤或腐蚀。
极性效应的特点,a、棒为正，极为负特点电晕放电起始电压高。间隙击穿电压低。b、棒为负，极为正特点电晕放电起始电压低，间隙击穿电压高。
冲击电压,持续时间极短，非周期性，幅值极高的电压。
冲击击穿电压气隙击穿的冲要条件,a、必须具有足够高的电压幅值b、必须有有效电子存在c、必须有电子放电通道的时间
伏秒特性,对于同一间隙，多次施加同一形状但幅值不同的冲击电压作用，其击穿电压幅值与击穿时间关系（曲线）称为伏秒特性。
U50%的概念,对于同一间隙，多次施加同一电压，其击穿的概率为U50% ，对应的电压幅值是U50% 。
提高气隙间隙击穿电压（绝缘强度）的措施,⑴改善电场分布a、改善电极的形状及电场分布b、采用极间障⑵消弱电离a、采用压缩气体b、采用真空c、采用电负性气体（SF6）
沿面放电的概念、污秽沿面放电的过程,概念悬挂在击穿导线（导体），支柱、套管、悬式绝缘子暴露在空气中与空气形成交接面。
污秽绝缘子沿面放电的过程,是脏污表面气体电离，电弧产生，发展，熄灭，重燃的过程。
极化的形式,1)电子式位移极化 2)离子式位移极化 3)偶极子极化 4)夹层极化
电导,电介质在电场作用下，少量带电粒子作定向运动，产生电流的现象。电导表征导电能力。电导决定电流（泄漏电流）电子的导数叫绝缘电阻。
介质损耗分为,电导损耗饿极化损耗。直流电导损耗 交流电导损耗和极化损耗 
tanδ介质损耗角正切的特性,①损耗与ω、с、U2 成正比。高频、高压、大容量，损耗p增大。②外加条件一定时，介质损耗与tanδ成正比。同一材料，同一时期tanδ不一样，tanδ反映不同时期的性能及缺陷。
影响tanδ的因素,a、f（频率）的影响 b、温度影响c、电压的影响
液体介质的击穿中的小桥理论,液体分子由电子碰撞而发生气泡，或者在电场作用下因其他原因发生气泡，由气泡内气体放电而引起液体介质的热击穿。
影响液体（油）介质击穿的因素,①杂质a、气体，水份，若充分溶解于油中，影响不大 b、若形成气泡，水清，影响较大。②温度影响a、干燥油，影响不大。b、受潮的油0~60℃  温度增大，有利于充分溶解 t>80℃以上，温度增大，水分汽化，气泡出现，影响大。③电场形式a、均匀电场b、不均匀电场④电压作用时间静态电压，时间长，容易形成桥，有影响。冲击电压，时间短，不易形成桥，无影响。
电击穿（依据电子崩理论）特点,a、击穿时间极短 b、击穿电压值高
热击穿（依据固有击穿理论）特点,a、击穿时间较长 b、击穿电压不高
电化学击穿特点,a、击穿时间长b、击穿电压相对较低
性能试验（非破坏性试验）,在较低电压作用下，测量设备一些电气性能参数，对设备无损伤，判定缺陷。
耐压试验（破坏性试验）,对设备电压耐受能力考验，所加的电压为设备可能承受的各种电压。交流耐压试验是考核电气设备绝缘裕度的主要方法，能有效地发现较危险的集中性缺陷，这是非破坏性试验不能相比。直流耐压试验直流试验耐压电压值的选择是参考交流耐压试验电压和交直流下击穿场强之间，并主要根据运行经验来确定。直流耐压试验的接线图与直流泄露电流相同，只是所加电压更高，可确定电气设备的绝缘水平。冲击高压试验冲击高压是由冲击电压发生器产生的。
避雷针、线的作用为使设备建筑物线路免遭直击雷，安全将雷电流引入大地而设置。
避雷线的作用,主要用于保护线路，也可用于保护发、变电所。
避雷器的作用，分类，特点,作用防入侵雷电波（过电压波），它与被保护设备并联，入侵波来时，避雷器优先动作。分类间隙类避雷器又分为保护间隙（火花间隙）和管型避雷器。
阀型类避雷器又分为,阀型避雷器和金属氧化物避雷器（氧化锌避雷器）。
保护间隙特点,优点结构简单，价格便宜。缺点不能灭弧，断路器跳闸，容易造成停电事故。存在截波，对绕组类设备极不利（有可能造成绕组绝缘击穿，致命缺点）。只适用于线路保护。
管型避雷器特点,优点能灭弧缺点存在截波 只能用于线路保护。
阀型避雷器特点,a、非线性绕组b、电流小，电阻大c、电流大，电路小
金属氧化物避雷器（氧化锌避雷器）的特点,a、无间隙b、无续流（≤1mA）工频续流（≥100A）c、使设备过电压降低，通流能力大d、多雷区e、直流防雷保护及SF6设备保护
防雷的指标,耐雷水平和雷击跳闸率。
耐雷水平,雷击线路时线路绝缘不发生冲击闪络的最大雷电流幅值称为耐雷水平。
雷击跳闸率,每100km线路每年由雷击引起的跳闸次数称为雷击跳闸率。
感应过电压,雷击线路附近地面，由于电磁感应所引起的称为感应雷过电压。
现代防雷的措施,①架设避雷线②降低杆塔接地电阻③架设加强耦合地线④中性点非有效接地⑤加强线路绝缘⑥加强自动重合闸装置⑦加装线路用管型避雷器
对入侵雷的防护措施,a、加装避雷器b、串电感，并电容c、降低陡度
阀型避雷器对入侵雷的防护,阀型避雷器主要是限制过电压波的幅值。
进线段保护作用,降低入侵波的幅度及陡度，限制流经避雷器的电流幅值。
外部过电压分为,直击雷过电压和感应雷过电压
内部过电压分为,稳态过电压和操作过电压
稳态过电压分为,工频电压升高和谐振过电压
工频电压升高分为,空载线路的电容效应、不对称短路引起的工频电压升高和发电机甩负荷。
谐振过电压分为,线性谐振过电压、参数谐振过电压和铁磁谐振过电压。
操作过电压分为,切除空载线路过电压、空载线路合闸过电压、切除空载变压器过电压和断续电弧接地过电压。
空载线路容升现象引起的过电压防护办法,并联电抗器
接地故障引起的工频电压升高防护办法,中性点加装避雷器
发电机甩负荷防护办法,并电抗器，加电压速断保护。
谐振过电压防护办法,a、改善电磁式电压互感器的激磁特性，或改用电容式电压互感器。b、在电压互感器开口三角形绕组中接入阻尼电阻，或在电压互感器一次绕组的中性点对地接入电阻。c、在有些情况下，可在10kv及以下的母线上装设一组三相对地电容器，或用电缆段代替架空线段，以增大对地电容，从参数搭配上避开谐振。d、在特殊情况下，可将系统中性点临时经电阻接地或直接接地，或投入消弧线圈，也可以按事先规定投入某些线路或设备以改变电路参数，消除谐振过电压。
切除空载线路产生过电压防护办法,改善断路器的结构，绝缘强度提高，灭弧能力提高。端口并R。
合闸空载线路防护办法,增加R
切空载变压器防护办法,加装阀型避雷器
电弧接地过电压防护办法,加装消弧线圈，用以消弱电容电流，起到消弧作用。
电介质的极化,1.）电子位移极化 电介质中的带点质点在电场作用下沿电场方向做有限位移，无能量损耗2.）离子位移极化 有极微量的能量损耗3.）转向极化 4.）空间电荷极化
电介质的介电常数代表,电介质极化程度，其中气体D=1 水D=81 蓖麻油 D=4.2
电介质的电导与金属电导的区别,1.）形成电导电流的带电粒子不同（金属导体自由电子，电介质离子）2.）带电粒子数量上的区别
影响液体介质电导的因素,温度，电场强度。
介质损耗角,绝缘在交变电压作用下比损耗大小的特征参数
四种形式电离的产生,撞击电离 光电离 热电离 表面电离
气体中带电质点的消失,1.）带电质点收电场力的作用流入电极并中和电量2.）带电质点的扩散3.）带电质点的复合
自持放电,当场强超过临界场强值时，这种电子崩已可仅由电场的作用而自行维持和发展，不必再有赖于电离因素，这种性质的放电称为自持放电。
流柱放电流程,有效电子（经碰撞游离）——电子崩（畸变电场）——发射光子（在强电场作用下）——产生新的电子崩（二次崩）——形成混质通道（流柱）——由阳极向阴极（阳极流柱）或由阴极向阳极（阴极流柱）击穿
电晕放电,电晕放电是极不均匀电场所特有的一种自持放电形式，他与其他形式的放电有本质的区别，电晕放电的电流强度并不取决于电源电路中的阻抗，而取决于电极外气体空间的电导，即取决于外施电压的大小，电极形状，极间距离，气体的性质和密度等。
不均匀电场气隙的击穿,短气隙击穿（极性效应）长气隙的击穿（先导放电）
先导过程,当气隙距离较长时，（约1m以上），存在某种新的，不同性质的放电过程，称为先导过程
雷电放（长气隙放电）电包括哪些现象,雷云对大地，雷云对雷云和雷云内部放电现象
下行的负极性雷通常可以分为三个主要阶段,先导放电，主放电和余光放电
升压时间t0,电压从0升到静态击穿电压U0所需时间
统计时延ts,从电压达到U0的瞬时起到气隙中形成第一个有效电子为止的时间
放电发展时间tf,从形成第一个有效电子的瞬时起到气隙完全被击穿为止的时间
影响平均统计延时的因素,1.）电极材料2.）外施电压3.）短波光照射4.）电场情况
影响放电发展时间的因素,1.）间隙长度2.）电场均匀度3.）外施电压
提高气隙击穿电压的方法,1.）改善电场分布2.）采用高度真空3.）增高气压4.）产用高耐电强度气体5.）SF6气体的应用
电击穿,由于电场的作用使介质中的某些带电质点积聚的数量和运动的速度达到一定程度，使介质失去了绝缘性能，形成导电通道，这样的击穿称为电击穿。
热击穿,在电场的作用下，介质内的损耗发出的热量多于散逸的热量，使介质温度不断上升，最终照成介质本身的破坏，形成导电通道，这样的击穿称为热击穿。
影响固体电介质击穿电压的因素,1.）电压作用时间的影响2.）温度的影响3.）电场均匀度和介质厚度的影响4.）电压频率的影响5.）受潮度的影响6.）机械力的影响7.）多层行的影响8.）累积效应的影响
固体介质的老化中最主要的是,电老化，热老化和综合性的环境老化
影响液体电介质击穿电压的因素,1.)液体介质本身品质的影响2.）电压作用时间的影响3.）电场情况的一影响4.）温度的影响5.）压强的影响
油本身的某些品质因素对耐电压强度的影响.1.）化学成分2.）含水量3.）含纤维量4.）含炭量5.）含气量
提高液体电介质击穿电压的方法,1.）提高并保持油的品质2.）覆盖3.）绝缘层4.）极间障
提高并保持油的品质的方法,1.）压力过滤法2.）真空喷雾法3.）吸附剂法
电气设备绝缘试验包含,1.）耐压试验（破坏性试验）模范设备绝缘在运行中可能受到的各种电压，对绝缘施加与之相等的或更为严峻的电压，从而考验绝缘耐受这i类电压的能力。2.）检查性试验（非破坏性试验）测定绝缘某些方面的特性，并据此间接地判断绝缘状况
绝缘电阻是反映绝缘性能的最基本的指标之一，通常都用什么来测量绝缘电阻,兆欧表
测量绝缘电阻能有效的发现下例缺陷,1.)总体绝缘质量欠佳2.）绝缘受潮3.）两极间有贯穿性的导电通道4.）绝缘表面情况不良
测量绝缘电阻不能发现下例缺陷,1.）绝缘中的局部缺陷（入非贯穿性的局部损伤，含有气泡等）2.）绝缘的老化（因为老化了的绝缘其绝缘电阻 还可能是相当高的）
测定泄露电流于兆欧表相比具有以下特点,1.）所加直流电压较高，能揭示兆欧表不能发现的某些绝缘缺陷2.) 所加直流电压是逐渐升高的，则在升压过程中，从所测电流与电压关系的线性度，即可指示绝缘情况3.）兆欧表刻度的非线性度很强，尤其在接近高量程段，刻度甚密，难以精确分辨，微安表的刻度则是基本上是线性的，能精确读取。
局部放电的测试分为,直接法和平衡法
较准确的测压法是直接测被试品两端的高压，主要有,1.）测量球隙2.）静电电压表（s.v）3.）分压器配用低压仪表4.）高压电容器配用整流装置
直流高压的测量,1.）棒隙或球隙2.）电阻分压器配合低压仪表3.）用高值电阻与直流电流表串联4.）静电电压表
无限长直角波通过电感后改变为什么，串联电感起了什么作用。,无限长直角波通过电感后改变为一指数波头的行波，串联电感起了来波上升速率的作用。
为了降低入侵波的陡度可以使用什么措施。,串联电感或并联电容的措施
对于波阻抗很大的设备（如发电机）要想用串联电感来降低入侵波陡度一般是有困难的，通常用什么方法。,并联电容
流经被击物体的电流iz与被击物体的阻抗zj有什么关系,zj越大则iz越小，反之则iz越大，当zj=0时，流经被击物体的电流呗定义为雷电流，用iL表示。
雷电通道波阻抗z0是多少,300欧姆
描述脉冲波形的主要参数有,峰值，波前时间和半峰值时间。
避雷器的作用是,限制过电压以保护电气设备
避雷线的作用是,保护输电线路
避雷针的作用是,保护集中场所的设备
阀型避雷器的基本元件为,间隙和非线性电阻，
阀片的电阻值与流过的电流有关，是什么特性,具有非线性特征，电流越大电阻越小。
避雷器的选用选用避雷器时，应该怎样？,避雷器的额定电压与安装该避雷器的电力系统的电压等级相同，并且应是避雷器的灭弧电压大于其安装处母线上可能出现的最高工频电压。
避雷器的保护性能一般以保护比（残压/灭弧电压）来说明，保护比越小，说明什么？,说明残压越低或灭弧电压越高，则避雷器的保护性能越好。
接地可以分为哪些,工作接地、保护接地和防雷接地。
输电线路上出现的大气过电压有哪两种,一种是雷直击于线路引起的，称为直击雷过电压；一种是雷击线路附近地面，由于电磁感应所引起的，称为感应雷过电压。
雷击线路时线路绝缘不发生闪络的最大雷电电流幅值称为,“耐雷水平”，以kV为单位。
每100km线路每年由雷击引起的跳闸次数称为,“雷击跳闸率。”
输电线路的感应雷过电压分为哪几种,雷击线路附近大地时，线路上的感应雷过电压和雷击线路杆塔时，导线上的感应过电压。
雷直击于有避雷线线路的情况可以分为哪三种,即雷击杆塔塔顶、雷击避雷线档距中间和雷绕过避雷线击于导线——称为“绕击”。
雷击杆塔塔顶次数与雷击线路总次数的比值称为,击杆率g。
输电线路的防雷措施有,架设避雷线，降低杆塔接地电阻，架设耦合地线，采用不平衡绝缘方式，装设自动重合闸，采用消弧线圈接地方式，装设管型避雷器，加强绝缘。
发电厂和变电所的主要防雷措施,在发电厂、变电所内装设阀型避雷器以限制入侵雷电波的幅值，使设备上的过电压不超过其冲击耐压幅值；在发电厂、变电所的进线上设置进线保护段，以限制流经避雷器的雷电流和限制入侵雷电波的陡度；对直接与架空线相连的旋转电机（称直配电机）在电机母线上装设电容器，限制入侵雷电波陡度以保护电机匝间和中性点绝缘。
发电厂厂房一般不装设避雷针的原因,以免发生反击事故和引起继电保护的误动作。
所谓选频（滤波），就是要做到什么, 选出需要的频率分量和滤除不需要的频率分量。
电抗 (X)计算公式。,电抗=容抗（1/C)+ 感抗 (wL) 阻抗 = 电阻 (R)+j 电抗(L/C)
谐振时的电流越大，比值越大， 曲线越尖说明什么,选频作用越明显， 选择性越好
品质因数越高，选择性和通频带怎样,选择性越好，通频带越窄
就能量关系而言，所谓“谐振” ，是指,回路中储存的能量是不变的，只是在电感与电容之间相互转换；外加电动势只提供回路电阻所消耗的能量，以维持回路的等幅振荡，而且谐振回路中电流最大 。
并联电阻对品质因数和其他的影响,品质因数减小，通频带加宽，选择性变坏
高频放大器与低频放大器主要区别,工作频率围、频带宽度，负载不同；低频工作频率低，频带宽，采用无调谐负载；高频工作频率高，频带窄，采用选频网络
特低频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,0.3 ～3kHz 特长波 1～0.1Mm ULF 音频 架空明线（长波）
低频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,30～300kHz 长波 10～1km LF 船舶通信、信标、导航 对称电缆、架空明线、地球表层（长波）
中频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,0.3 ～3MHz 中波 1000～100m MF 广播、船舶通信、飞行通信  同轴电缆、地球表层（中波）
高频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,3～30MHz 短波 100～10m HF短波广播、军事通信 同轴电缆、电离表层（短波）
甚高频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,30～300MHz 米波 10～1m VHF电视、调频广播、雷达、导航 同轴电缆、空间直线传播（超短波）
特高频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,0.3 ～3GHz 分米波100～10cm UHF电视、雷达、移动通信 波导、空间直线传播（分米波）
超高频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,3～30GHz 厘米波 10～1cm SHF雷达、中继、卫星通信 波导、空间直线传播（厘米波）
极高频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,30～300GHz 毫米波 10～1mm EHF射电天文、卫星通信、雷达 波导、空间直线传播（毫米波）
高频电压放大器的作用是什么,放大+选频
石英晶体滤波原理,逆压电效应
压电效应,当晶片两面加机械力时，晶片两面将产生电荷，电荷的多少与机械力所引起的变形成正比，电荷的正负将取决于所加机械力是张力还是压力。
逆压电效应,当在晶片两面加不同极性的电压时，晶片会产生机械形变，其形变大小正比于所加的电形变是压缩还是伸张，则决定于所加电压的极性。
声表面波滤波器原理,电声效应
双参差调谐放大器指什么,两个放大器分别调谐在f1、f2 上
调幅的几种调制方式是,AM、DSB、SSB。
集电极调幅，应使被调放大器工作于什么状态。,过压
电容三点式振荡器的发射极至集电极之间的阻抗Zce性质应为?，发射极至基极之间的阻抗Zbe性质应为?，基极至集电极之间的阻抗Zcb性质应为？。,电容三点式振荡器的发射极至集电极之间的阻抗Zce性质应为容性，发射极至基极之间的阻抗Zbe性质应为容性，基极至集电极之间的阻抗Zcb性质应为感性。
通常将携带有信息的电信号称为什么，未调制的高频振荡信号称为什么，通过调制后的高频振荡信号称为什么。,将携带有信息的电信号称为调制信号，未调制的高频振荡信号称为载波，通过调制后的高频振荡信号称为已调波。
解调是调制的逆过程。振幅调制信号的解调电路称为振幅检波电路，它的作用是什么。,从高频已调信号中恢复出调制信号。
某高频功率放大器原来工作在临界状态，测得=22v，=100mA，=100Ω，=24v，当放大器的负载阻抗变小时，则放大器的工作状态过渡到什么状态，回路两端电压将怎样，若负载阻抗增加时，则工作状态由临界过渡到什么状态，回路两端电压将怎样。,当放大器的负载阻抗变小时，则放大器的工作状态过渡到欠压状态，回路两端电压将减小，若负载阻抗增加时，则工作状态由临界过渡到过压状态，回路两端电压将增大。
常用的混频电路有,二极管混频、三极管混频和模拟乘法器混频等。
调相时，最大相位偏移与调制信号幅度成什么比。,正比
模拟乘法器的应用很广泛，主要可用来,实现调幅、解调和混频等频谱搬移电路中。
调频和调幅相比，调频的主要优点是,抗干扰性强、频带宽和调频发射机的功率放大器的利用率高。
混频器按所用非线性器件的不同，可分为,二极管混频器、三极管混频器和模拟乘法器混频器等。
超外差接收机中，中频频率为465KHZ，当接收信号载频为535KHz时，本振频率为多少,1000KHz。
直接调频的优点是什么，间接调频的优点是什么。,直接调频的优点是频偏大，间接调频的优点是频率稳定度高。
锁相环路由什么组成，它的主要作用是什么。,锁相环路由鉴相器 、环路滤波器和电压控制振荡器组成，它的主要作用是用于实现两个电信号相位同步，即可实现无频率误差的频率跟踪。
矩形系数Kr0.1定义为,单位谐振曲线N(f)值下降到0.1时的频带范围与通频带之比。
放大器工作在欠压状态，随着负载谐振电阻的增大而向临界状态过渡时，放大器的交流输出电压将怎样,增大
通信系统由哪些部分组成？各组成部分的作用是什么？,通信系统由输入、输出变换器，发送、接收设备以及信道组成。输入变换器将要传递的声音或图像消息变换为电信号（基带信号）；发送设备将基带信号经过调制等处理，并使其具有足够的发射功率，再送入信道实现信号的有效传输；信道是信号传输的通道；接收设备用来恢复原始基带信号；输出变换器将经过处理的基带信号重新恢复为原始的声音或图像。
小信号谐振放大器与谐振功率放大器的主要区别是什么？,1）小信号谐振放大器的作用是选频和放大，它必须工作在甲类工作状态；而谐振功率放大器为了提高效率，一般工作在丙类状态。2）两种放大器的分析方法不同，前者输入信号小采用线性高频等效电路分析法，而后者输入信号大采用折线分析法。
引起高频小信号放大器工作不稳定的原因是什么？用什么办法克服？,晶体管存在反向传输导纳Yre≠0，使输出电压可以反馈到输入端，引起输入电流的变化，从而可能引起放大器工作不稳定。如果这个反馈足够大， 且在相位上满足正反馈条件，则会出现自激振荡。为了提高放大器的稳定性，通常从两个方面着手。一是从晶体管本身想办法，减小其反向传输导纳Yre值。 二是从电路上设法消除晶体管的反向作用，使它单向化。 具体方法有中和法与失配法。
当谐振功率放大器的输入激励信号为余弦波时，为什么集电极电流为余弦脉冲波形？ 但放大器为什么又能输出不失真的余弦波电压？,因为谐振功率放大器工作在丙类状态（导通时间小于半个周期），所以集电极电流为周期性余弦脉冲波形；但其负载为调谐回路谐振在基波频率，可选出ic的基波，故在负载两端得到的电压仍与信号同频的完整正弦波。
高频已调波信号和本机振荡信号经过混频后，信号中包含哪些成分？如何取出需要的成分？,高频已调波信号和本机振荡信号经过混频后，信号中包含直流分量、基波分量、谐波、和频、差频分量，通过LC并联谐振回路这一带通滤波器取出差频分量，完成混频。
二极管大信号峰值包络检波器的非线性失真有哪些？避免失真的原因及条件是什么？,惰性失真和底部切削失真。避免惰性失真指在任何一个高频周期内，使电容C通过R放电的速度大于或等于包络的下降速度。避免底部切削失真指检波器交流负载与直流负载之比应大于调幅波的调制度m
无线电通信中，信号是以电磁波形式发射出去的。它的调制方式有,调幅、调频、调相。
针对不同的调制方式有三种解调方式，分别是,检波、鉴频和鉴相。
在单调谐放大器中，矩形系数越接近于 1、其选择性越好；在单调谐的多级放大器中，级数越多，通频带越怎样，其矩形系数越怎样。,通频带越窄，其矩形系数越小。
在无线电技术中，一个信号的表示方法有三种，分别是,数学表达式、波形、频谱。
调频电路有哪两种方式。,直接调频、间接调频
检波有哪两种形式。,同步、和非同步检波
反馈式正弦波振荡器按照选频网络的不同，可分为, LC、RC、石英晶振等三种。
变频器可由哪两部分组成。,混频器、和带通滤波器
