为减小系统负荷变化所引起的频率波动，应采取的措施是（     ）。,设置足够的旋转备用（热备用）容量，并使尽可能多的机组参与频率的一次调整,设置足够的冷备用容量，并装设自动按频率减负荷装置,设置足够的旋转备用（热备用）容量，但应尽量较少参与一次调整的机组的数量,设置足够的无功电源。,A
关于电力系统的电压调整，下述说法中正确的是（     ）。,只要保证电力系统在所要求的电压水平下的无功功率平衡，就可以将电力系统中所有用电设备的电压限制在允许的范围,要维持电力系统用电设备的电压在允许的范围，首要的条件是要满足在所要求的电压水平下的电力系统的无功率平衡,在任何情况下都可以通过改变变压器变比，将电力系统中所有用电设备的电压限制在允许范围,当无功负荷变化时，不必改变系统无功电源的总出力，只要调整电力系统的无功潮流分布总可以将电力系统用电设备的电压控制在允许范围。,B
在下面所列出的各组无功电源中，完全具有正的电压调节效应的一组是（    ）。,调相机、TCR型静止无功补偿器、并联电容器,TCR型静止无功补偿器、SR型静止无功补偿器、并联电容器,调相机、SR型静止无功补偿器、TSC型静止无功补偿器,调相机、SR型静止无功补偿器、TCR型静止无功补偿器。,C
电力系统无功电源最优分布的原则是（     ）。,等耗量微增率准则,等网损微增率准则,最优网损微增率准则,等比耗量准则。,B
在无功电源并不缺乏的电力系统中，关于是否需要增加无功补偿装置，下述说法中正确的是（     ）。,绝对不应增加无功补偿装置,可以增加无功补偿装置，但应遵守最优网损微增率准则,可以增加无功补偿装置，但应遵守等网损微增率准则,应增加无功补偿装置，直到各节点的网损微增率均为正值为止。,B
最大负荷时允许电压中枢点的电压适当下降，最小负荷时允许电压中枢点的电压适当升高，这种调压方式是（     ）。,顺调压方式,逆调压方式,恒调压方式,常调压方式。,A
最大负荷时允许电压中枢点的电压适当下降，最小负荷时允许电压中枢点的电压适当升高，这种调压方式是（     ）。,、顺调压方式,逆调压方式,恒调压方式,常调压方式。,D
对于有功电源过剩，但无功不足引起电压水平偏低的电力系统，应优先采用的调压措施是（    ）。,改变无励磁调节变压器变比,改变有载调压变压器变比,改变发电机的无功出力,增加无功补偿装置。,C
系统参数在某一平均值附近做微小变化时，系统状态变量在某组平均值附近微小波动，此时的电力系统运行状态属于（    ）。,稳态运行,电磁暂态过程,机电暂态过程,波过程。,A
电力系统暂态分析研究的是（     ）。,电力系统稳态运行,电磁暂态和机电暂态过程,电磁暂态过程和波过程,机电暂态过程和波过程。,B
关于电力系统短路故障，下述说法中错误的是（     ）。,短路故障是指相与相或相与地之间的不正常连接,短路故障又称为纵向故障,短路故障中除三相短路外，其他短路故障都属于不对称故障,中性点接地系统中，单相接地短路发生的概率最高。,B
关于无限大功率电源，下述说法中错误的是（     ）。,无限大功率电源的端电压和功率保持不变,无限大功率电源供电情况下，三相短路电流中的周期分量在暂态过程中幅值保持不变,无限大功率电源供电情况下； 三相短路电流中的非周期分量起始值均相等,无限大功率电源供电情况下，发生三相短路后的暂态过程中，各相短路电流中都包含有周期分量和非周期分量。,C
关于短路冲击电流，下述说法中错误的是（    ）。,短路冲击电流是最恶劣短路条件下发生三相短路时，短路电流的最大瞬时值,短路冲击电流出现在短路发生后约二分之一周期时,短路回路阻抗角越大，则短路冲击系数越大,短路回路阻抗角越小，则短路冲击系数越大。,D
为简化同步发电机三相短路的分析计算，采用了一些假设条件，下面各组条件中属于同步发电机三相短路分析假设条件的一组是（     ）,发电机绕组阻抗为零、发电机频率保持不变,发电机磁路不饱和、发电机频率保持不变,发电机绕组阻抗为零、发电机磁路不饱和,发电机绕组电阻为零，发电机磁路已饱和。,B
同步发电机机端发生三相短路时，短路电流中包含的分量为（    ）。,基频周期分量、非周期分量、倍频分量,基频周期分量、非周期分量,基频周期分量、倍频分量,非周期分量、倍频分量。,A
同步发电机机端发生三相短路时，转子励磁绕组和定子三相绕组电流之间存在一定的对应关系，其中与转子励磁绕组中的周期自由分量相对应的定子绕组短路电流分量为（     ）。,、基频周期分量,基频周期分量稳态值,非周期分量与倍频分量,、基频周期分量与倍频分量。,C
关于同步发电机机端发生三相短路时短路电流中各分量的变化，下述说法中错误的是（      ）。,定子短路电流中的非周期分量和倍频分量以同一时间常数逐渐衰减到零,定子绕组中的基频周期分量有效值从短路瞬间的数值逐渐衰减到稳态值,定子绕组的基频周期分量保持不变，其他分量逐渐衰减到零,定子绕组中的基频周期电流分量在短路发生后开始阶段衰减速度快，后阶段衰减速度慢。,C
关于同步发电机机端三相短路情况下的短路电流周期分量，下面说法中正确的是（    ）。,负载情况下发生短路与空载情况下发生短路两种情况下，短路电流周期分量的起始有效值相等,负载情况下发生短路与空载情况下发生短路两种情况下，短路电流周期分量的稳态有效值相等,负载情况下发生短路与空载情况下发生短路两种情况下，短路电流周期分量的衰减时间常数是相同的,负载情况下发生短路与空载情况下发生短路两种情况下，短路电流周期分量的衰减时间常数是不相同的。,C
对于隐极式同步发电机原始磁链方程中的电感系数，下述说法中正确的是（    ）。,定子各绕组与转子各绕组之间的互感系数为常数，因为转子转动不影响磁路的磁阻,转子各绕组的自感系数和转子各绕组之间的互感系数都是常数,定子各绕组的自感系数是随着转子的转动周期性变化的,定子各绕组之间的互感系数是随着转子的转动周期性变化的。,B
关于派克变换，下述说法中错误的是（    ）。,派克变换是一种等效变换，其等效体现在变换前后发电机气隙电枢反应磁场不变,派克变换将定子三相绕组中的基频周期分量变换为d、q等效绕组中的非周期分量,派克变换将定子三相绕组中的非周期分量变换为d、q等效绕组中的周期分量,派克变换将定子三相绕组中的周期分量和非周期分量都变换为d、q等效绕组中的非周期分量。,D
关于同步发电机机端三相短路的分析，下述说法中错误的是（    ）。,派克变换的目的是为了将描述发电机电磁暂态过程的原始电压方程由变系数微分方程变为常系数微分方程,将派克变换后的同步发电机基本方程进行拉普拉斯变换的目的是将基本方程由微分方程变为代数方程,对同步发电机机端三相短路进行定量分析的基本方法是，利用用象函数表示的发电机基本方程和边界条件，求出待求量的象函数，再进行拉普拉斯反变换求待求量的原函数（d、q、0等效绕组系统中的电气量），最后通过派克变换求出定子三相绕组系统中的电气量,派克变换仅适用于同步发电机三相对称短路的分析计算。,D
三相短路实用计算的内容是（    ）。,短路电流周期分量起始有效值计算、任意时刻短路电流周期分量有效值的计算,短路电流非周期分量有效值计算、短路电流周期分量起始有效值计算,短路电流周期分量起始有效值的计算,短路电流周期分量稳态有效值计算。,A
同步发电机三相短路实用计算中在发电机方面所采取的假设条件是（    ）。,发电机用次暂态电动势和直轴次暂态电抗表示，系统中所有发电机电动势相位相同,发电机用空载电动势和直轴同步电抗表示，系统中所有发电机的电动势相位相同,发电机用次暂态电动势和直轴同步电抗表示，系统中所有发电机的电动势相位相同,发电机用次暂态电动势和交轴次暂态电抗表示，系统中所有发电机的电动势相位相同。,A
运用运算曲线法计算任意时刻短路电流周期分量有效值时，对于负荷的处理方法是（   ）。,不考虑负荷的影响,需要考虑负荷的影响,仅需要考虑短路点附近大容量电动机的影响,需要部分考虑负荷的影响。,A
分析不对称短路的方法是（    ）。,对称分量法,叠加原理,运算曲线法,节点电压法。,A
短路电流中一定存在零序分量的短路类型是（    ）。,接地短路,相间短路,不对称短路,三相短路。,A
关于不对称短路，下述说法中错误的是（     ）。,对称分量法仅适用于线性电力系统,任何不对称短路情况下，短路电流中都存在负序分量,相间短路情况下，短路电流中不存在零序分量,同短路电流中的非周期分量一样，不对称短路时短路电流中的负序分量和零序分量都将逐渐衰减到零。,D
关于电力元件的正序阻抗、负序阻抗和零序阻抗阻抗，下述说法中错误的是（     ）。,静止元件的正序阻抗等于负序阻抗,旋转元件的正序阻抗、负序阻抗和零序阻抗严格讲各不相同,静止元件的正序阻抗、负序阻抗和零序阻抗都不相同，电抗器正序阻抗、负序阻抗和零序阻抗相等。,C
关于电力变压器的励磁电抗，下述说法中错误的是（     ）。,不管电力变压器的类型和绕组接线方式如何，其正序励磁电抗和负序励磁电抗都可以视为无限大,不管电力变压器的类型和绕组接线方式如何，其零序励磁电抗都可以视为无限大,对于三相组式变压器，其正序励磁电抗、负序励磁电抗和零序励磁电抗都可以视为无限大,当三相变压器包含有三角形接线绕组时，不管变压器的类型如何，其零序励磁电抗都可以视为无限大。,B
关于架空输电线路的零序阻抗，下述说法中错误的是（     ）。,输电线路的零序阻抗大于正序阻抗,双回输电线路的零序阻抗大于单回输电线路的零序阻抗,有架空地线的输电线路，其零序阻抗小于无架空地线的同类型架空线路的零序阻抗,架空地线的导电性能越好，输电线路的零序阻抗越大。,D
在中性点不接地系统中同一地点发生两相短路和两相短路接地时，关于短路点故障相短路电流有效值，下述说法中正确的是（     ）。,两种情况下短路电流大小相等,两相接地短路电流大于两相短路电流,两相接地短路电流小于两相短路电流,无法确定哪种情况下短路电流更大。,A
与一相断线故障复合序网形式上相同的短路故障是（      ）。,单相接地短路,两相短路,两相短路接地,三相短路。,C
关于短路故障时正序电压、负序电压和零序电压的分布，下述说法中正确的是（    ）。,故障处正序电压、负序电压和零序电压均最高,发电机机端正序电压、负序电压、零序电压均为最高,发电机机端正序电压最高、短路点负序电压和零序电压最高,发电机中性点负序电压和零序电压最高，正序电压最低。,C
电力系统同一点发生不同类型短路故障时，按照故障处正序电压从高到低的短路类型排列顺序是（    ）。,三相短路、两相短路、两相短路接地、单相接地短路,、单相接地短路、两相短路、两相短路接地、三相短路,两相短路接地、两相短路、单相接地短路、三相短路,两相短路、两相短路接地、单相接地短路、三相短路。,B
关于电力系统发生短路故障时的零序电流，下述说法中错误的是（     ）。,不对称短路时，故障处三相电压不对称所分解出的零序电压是电力系统出现零序电流的充分必要条件,只有中性点直接接地系统中发生接地短路时才会产生零序电流,零序电流从短路点流向中性点接地变压器或中性点接地发电机的中性点,不对称短路时，故障处三相电压不对称所分解出的零序电压是电力系统出现零序电流的必要条件，但不是充分条件。,A
关于短路故障时的负序电流，下述说法中正确的是（    ）。,任何短路情况下，短路电流中都包含有负序分量,任何相间短路情况下，短路电流中都包含负序分量,只有在发生不对称短路时，短路电流中才会出现负序分量,只有在中性点接地系统发生接地短路时，短路电流中才会出现负序分量。,A
电力系统静态稳定性是指（    ）。,正常运行的电力系统受到小干扰作用后，不发生自发振荡或失步，自动恢复到初始运行状态的能力,正常运行的电力系统受到小干扰作用后，保持同步运行的能力,正常运行的电力系统受到大干扰后，保持同步运行的能力,正常运行的电力系统受到打干扰作用时，不发生自发震荡和失步，自动恢复到初始运行状态的能力。,A
描述转子受扰运动的方程是（     ）。,线性微分方程,非线性微分方程,代数方程,变系数微分方程。,B
电力系统稳定分析的最终目的是（     ）。,求发电机转子摇摆曲线，并根据摇摆曲线判断系统运行的稳定性,求发电机的功角特性曲线，并根据发电机的功角特性曲线判断系统运行的稳定性,求发电机定子电流的变化曲线，并根据电流变化曲线判断系统运行的稳定性,求发电机机端电压变化曲线，并根据电压变化曲线判断电力系统运行的稳定性。,A
分析电力系统运行的暂态稳定性时，对于非周期分量电流和负序分量电流的处理原则是（     ）。,不计非周期分量的影响，但需要考虑负序分量的影响,需要计及非周期分量和负序分量的影响,不计非周期分量和负序分量的影响,不计负序分量的影响，但需考虑非周期分量的影响。,C
分析电力系统静态稳定性的方法是（    ）。,小干扰法,改进欧拉法,对称分量法,、运算曲线法。,A
下述所给出的各个选项中，完全属于提高电力系统并列运行静态稳定性的一组是（    ）。,输电线路采用分裂导线、发电机装设先进励磁装置、提高输电电压等级,输电线路采用分裂导线、发电机装设先进励磁装置、输电线路装设重合闸装置,输电线路采用分裂导线、发电机装设先进励磁装置、快速切除故障,快速切除故障、输电线路装设重合闸装置、发电机装设先进励磁装置。,A
分析电力系统暂态稳定性应考虑的干扰形式是（    ）。,系统切除一台并列运行的变压器或发电机,系统大容量用电设备的突然投入或退出,系统三相短路,电力系统安全稳定运行导则规定的扰动形式。,D
对电力系统并列运行的暂态稳定性而言，最不利的短路故障是（    ）。,三相短路,单相接地短路,两相短路接地,两相短路。,A
架空输电线路采用单相重合闸的主要目的是（    ）。,提高供电可靠性,提高电力系统在单相接地短路故障情况下并列运行的暂态稳定性,提高电力系统在三相短路情况下并列运行的暂态稳定性,提高电力系统在电力系统相间短路情况下的暂态稳定性。,B
变压器中性点经小电阻接地在提高电力系统并列运行暂态稳定性方面的作用是（    ）。,提高电力系统在电力系统三相短路情况下的暂态稳定性,提高电力系统在电力系统两相短路情况下的暂态稳定性,提高电力系统在发生接地短路情况下的暂态稳定性,提高电力系统在相间短路情况下的暂态稳定性。,C
电力系统并列运行暂态稳定性分析中不考虑非周期分量、负序分量和零序分量的影响，原因是（    ）。,认为非周期分量、负序分量和零序分量都已衰减到零,负序分量和零序分量都已衰减到零，非周期分量电流对转子的平均电磁转矩为零,非周期分量已衰减到零，负序分量电流对转子的平均电磁转矩为零，零序电流一般情况下不会流入发电机定子绕组，即使流入发电机定子绕组也不会在发电机气隙中产生电枢反应磁通,非周期分量、负序分量和零序分量都不会在发电机气隙中产生电枢反应磁通，所以对发电机转子的运动无影响。,C
下面能够提高三相短路情况下电力系统并列运行暂态稳定性的一组措施是（    ）。,快速切除故障、快速关闭汽轮发电机气门、变压器中性点经小电阻接地,快速切除故障、线路装设重合闸、变压器中性点经小电阻接地,快速切除故障、快速关闭汽轮发电机气门、线路装设重合闸,快速切除故障、变压器中性点经小电阻接地、发电机装设强励装置。,C
电力系统并列运行暂态稳定性的分析计算过程求解发电机转子摇摆曲线的计算方法是（     ）。,小干扰法,对称分量法,数值解法,牛顿—拉夫逊法。,C
当采用制动电阻提高电力系统中同步发电机并列运行的暂态稳定性时，下述说法中错误的是（    ）。,制动电阻提高电力系统并列运行暂态稳定性的原理是增加了故障情况下发电机输出的电磁功率，减小了发电机的过剩功率,采用串联制动时制动电阻越大，制动作用越大,采用并联制动时制动电阻越小，制动作用越大,为提高制动效果，应采用过制动方式。,D
事故备用一般约为最大负荷的( )，但不得小于系统中最大机组容量。 ,2%-5%,4%-5%,5%-7%,5%-10%,D
用于连接110kV和35kV两个电压等级的降压变压器，其两侧绕组的额定电压应为( )。 ,"110kV,35kV","110kV,37kV","110kV,38.5kV","121kV,38.5kV",C
三相架空线导线换位的目的是( )。 ,使三相导线张力相同,使换位杆塔受力均匀,使三相导线长度相同,减小三相参数不平衡,D
要保证良好的频率质量，( )必须保持平衡。 ,有功功率,无功功率,视在功率,波形质量,A
输电线路电容参数产生的充电功率与线路电压( )。 ,一次方成正比,平方成正比,三次方成正比,无关,B
提高电力系统暂态稳定性的原理是( )。 ,缩小加速面积，增大减速面积,缩小减速面积，增大加速面积,增大加速面积和减速面积,缩小减速面积和加速面积,A
有功负荷备用一般为最大负荷的( )。 ,2%-5%,4%-5%,5%-7%,5%-1O%,A
对无功不足引起的电压水平偏低的电力系统，应采用的调压措施是( )。 ,改变无载调压变压器变比,改变有载调压变压器变比,减小发电机无功出力,增加无功补偿装置,D
500kV系统中性点运行方式经常采用( )。 ,不接地,直接接地,经电抗接地,经电阻接地,B
220kV系统中性点运行方式经常采用( )。 ,不接地,直接接地,经电抗接地,经电阻接地,B
用对称分量法分析时，若各序分量具有独立性，则此电路应满足( )。 ,非线性、参数对称,线性、参数不对称,非线性、参数不对称,线性、参数对称,D
不承受顺线路方向水平张力的杆塔是( )。 ,耐张杆塔,转角杆塔,终端杆塔,直线杆塔,D
无功功率流过线路电阻时( )。 ,产生有功功率损耗,产生无功功率损耗,既产生有功功率损耗，又产生无功损耗,既不产生有功功率损耗，又不产生无功损耗,A
线路首端电压一定( )末端电压。 ,高于,低于,等于,以上都有可能,D
正常运行时，电力系统频率的调整的基本原理是( )。 ,根据负荷的变化，调整电力系统中无功电源的出力，将系统频率限制在允许范围内,根据负荷的变化，调整发电机的有功出力，将系统频率限制在允许范围内,根据系统频率的变化，切除或投入负荷，将电力系统频率限制在允许范围之内,根据负荷的变化调整系统中变压器的分接头，将电力系统频率限制在允许范围之内,B
输电线路的额定电压为UN=llOkV，则它表示的是( )。 ,三相线电压,三相相电压,单相线电压,单相相电压,A
一般情况下，水电厂的可调容量( )火电厂。 ,大于,小于,等于,以上情况都有可能,A
调整计划外负荷增加而设置的备用是( )。 ,负荷备用,事故备用,检修备用,国民经济备用,A
电力系统等效电路中，所有参数应为归算到同一电压等级（基本级）的参数，关于基本级的选择，下列说法正确的是( )。 ,必须选择最高电压等级作为基本级,在没有明确要求的情况下，选择最高电压等级作为基本级,在没有明确要求的情况下，选择最低电压等级作为基本级,选择发电机电压等级作为基本级,B
当发电设备发生偶然性事故时，为维持系统正常供电，频率不受影响，这种备用是( )。 ,负荷备用,事故备用,检修备用,国民经济备用,B
中性点不直接接地系统发生单相接地时，可继续运行最多不超过( )。 ,2小时,5小时,8小时,10小时,A
不能做到无差调节，只能是有差调节的是( )。 ,一次调频,二次调频,三次调频,都可以,A
在并联运行的同一电力系统中，正常运行时任意瞬间的( )在全系统都是统一的。 ,电压,频率,波形,电流,B
短路冲击电流是指短路电流的( )。 ,有效值,平均值,方均根值,最大可能瞬时值,D
我国电力系统的额定频率为( )。 ,30Hz,40Hz,50Hz,60Hz,C
500kV系统的平均额定电压为( )。 ,525kV,520kV,515kV,500kV,A
以高压甚至超高压将发电厂、变电所或变电所之间连接起来的送电网络称为( )。 ,发电网,输电网,配电网,以上都对,B
丰水季节承担调频任务的是( )。 ,高温高压火电厂,中温中压火电厂,大水电厂,核电厂,B
10kV线路的平均额定电压为( )。 ,10kV,llkV,10.5kV,12kV,C
直接将电能送到用户的网络称为( )。 ,发电网,输电网,配电网,以上都对,C
下列说法错误的是( )。 ,电力系统的中性点一般指星型连接的变压器或发电机的中性点,目前，电力网大体分为：低压、中压、高压、超高压和特高压五种,因为额定电压愈高，线路上电流愈小，相应的线路上功率损耗、电能损耗、电压损耗都变小，所以电力网电压等级越高越好,电力网的额定电压等级应根据运行经验、输送距离和输送容量经过全面的技术经济比较来确定,C
l0kV及以下三相供电电压允许的电压偏移为( )。 ,-5%～+5%,-7%～+7%,-10%～+5%,-10%～+7.5%,B
连接10kV和220kV的升压变压器，一侧为发电机，则变比为( )kV。 ,10/220,10/242,10.5/242,11/242,C
在枯水季节，宜选( )作为主调频电厂。 ,高温高压火电厂,中温中亚火电厂,水电厂,核电厂,C
系统电源容量应( )系统总发电负荷。 ,大于,小于,等于,以上情况都有可能,A
一般情况，变压器的负序电抗与正序电抗的大小关系为( )。 ,正序电抗大于负序电抗,正序电抗小于负序电抗,正序电抗等于负序电抗,不确定,C
一般说，在我国，高压电网的电压等级是( )。 ,1kV以下,l-35kV之间,35-220kV,330-1000kV,C
下面电压序列完全属于电力线路额定电压的一组是( )。 ,500kV，230kV，12lkV，37kV，10.5kV,525kV，230kV，115kV，37kV，10.5kV,525kV，242kV，12lkV，38.5kV，11kV,500kV，220kV，ll0kV，35kV，l0kV,D
供电线路长，负荷变动较大的中枢点，应该采用( )。 ,顺调压,逆调压,常调压,恒调压,B
大扰动后，采取电气制动的主要目的是为了提高系统的( )。 ,暂态稳定,静态稳定,电压稳定,经济性,A
1l0kV及以上的电力系统应采用中性点运行方式是( )。 ,直接接地,不接地,经消弧线圈接地,不接地或经消弧线圈接地,A
网络中某些节点的功率是由两侧向其流动，这种节点称为( )。 ,电压分点,电流分点,功率分点,电抗分点,C
恒调压中枢点的电压为( )。 ,最大负荷时为1.05UN，最小负荷时为UN,最大负荷时，不低于1.075UN最小负荷时，不高于1.025UN,最大负荷时，不低于1.025UN最小负荷时，不高于1.075UN,任何情况下，电压都在1.02-1.05UN,D
关于各种电压等级在输配电网络中的应用，下列说法错误的是( )。 ,交流500kV通常用于区域电力系统的输电网络,交流220kV通常用于地方电力系统的输电网络,交流35kV及以下电压等级通常用于配电网络,除10kV电压等级用于配电网络外，10kV以上的电压等级都只用于输电网络,D
顺调压中枢点的电压为( )。 ,最大负荷时为1.05UN，最小负荷时为UN,最大负荷时，不低于1.075UN最小负荷时，不高于1.025UN,最大负荷时，不低于1.025UN最小负荷时，不高于1.075UN,任何情况下，电压都在1.02-1.05UN,C
对于一级负荷比例比较大的电力用户，应采用的电力系统接线方式为( )。 ,单电源双回路放射式,双电源供电方式,单回路放射式接线,单回路放射式或单电源双回路放射式,B
220kV电力线路的平均额定电压为( )。 ,230kV,220kV,221kV,242kV,A
目前，我国运行最高直流线路额定电压等级为( )。 ,±500kV,±750kV,±800kV,±1100kV,D
电力线路的平均额定电压较线路额定电压约高出( )。 ,±5%,±10%,5%,lO%,C
大扰动后，减少原动机出力的主要目的是提高系统的( )。 ,暂态稳定,静态稳定,电压稳定,经济性,A
衡量电力系统运行经济性的主要指标是( )。 ,燃料消耗率、厂用电率、网损率,燃料消耗率、建设投资、网损率,网损率、建设投资、电压畸变率,网损率、占地面积、建设投资,A
110kV电力线路的平均额定电压为( )。 ,115kV,110kV,121kV,105kV,A
关于变压器，下列说法错误的是( )。 ,对电压进行变换，升压满足大容量远距离输电，降压满足用电需求,变压器不仅可以对电压大小进行调整，也可以对功率大小进行变换,当发电厂升压变压器一次侧绕组与发电机直接相连时，一次侧绕组的额定电压与发电机的额定电压相同,变压器的二次侧绕组额定电压一般应为用电设备额定电压的l.1倍,B
对于两相短路接地，其复合序网的连接是( )。 ,正序和负序并联,正序负序零序串联,正序负序零序并联,负序和正序并联在和零序串联,C
用于电能远距离输送的线路为( )。 ,配电线路,直配线路,输电线路,输配电线路,C
并联电容器能向系统提供( )无功功率。 ,感性,容性,为0,不确定,A
冲击电流主要用于检验电气设备和载流导体的( )。 ,热稳定性,载流量,动稳定性,耐压等级,C
计算机解潮流方程时，经常采用的方法是( )。 ,回归法,替代法,递推法,迭代法,D
衡量电能质量的技术标准是( )。 ,电压偏移、频率偏移、网损率,电压偏移、频率偏移、波形畸变率,厂用电率、燃料损耗率、网损率,厂用电率、网损率、电压畸变率,B
既是有功功率电源，又是最基本的无功功率电源的是( )。 ,调相机,电容器,发电机,电抗器,C
电力系统的横向故障指的是( )。 ,短路故障,断线故障,系统振荡,过载,A
对于单相短路，其复合序网的连接是( )。 ,正序和负序并联,正序负序零序串联,正序负序零序并联,负序正序并联再和零序串联,B
对于供电可靠性，下述说法正确的是( )。 ,所有负荷都应当做到在任何情况下不中断供电,一级和二级负荷应当在任何情况下不中断供电,除一级负荷不允许中断供电外，其它负荷随时可以中断供电,一级负荷在任何情况下都不允许中断供电、二级负荷应尽可能不停电、三级负荷的供电不做特殊要求,D
三绕组降压变压器，当功率主要由高压侧向中压侧输送时，绕组的排列方式，居中绕组为( )。 ,高压绕组,中压绕组,低压绕组,依据电压等级不同，绕组的排列情况不同,B
电力系统的纵向故障指的是( )。 ,短路故障,断线故障,系统振荡,过载,B
停电有可能导致人员伤亡或主要生产设备损坏的用电负荷属于( )。 ,一级负荷,二级负荷,三级负荷,特级负荷,A
三绕组升压变压器绕组的排列方式，居中绕组为( )。 ,高压绕组,中压绕组,低压绕组,依据电压等级不同，绕组的排列情况不同,C
用于连接220kV和110kV两个电压等级的降压变压器，其两侧绕组的额定电压应为( )。 ,"220kV,110kV","220kV,115kV","242kV,12lkV","220kV,121kV",D
电力系统中有功功率的流向是( )。 ,从电压高的节点流向电压低的节点,从电压低的节点流向电压高的节点,从电压相位超前的节点流向电压相位滞后的节点,从相位滞后相流向相位超前相,C
目前，我国运行最高交流电网额定电压等级为( )。 ,500kV,750kV,800kV,1000kV,D
调频厂增加出力，系统频率( )。 ,上升,下降,不变,以上情况都有可能,A
"短路类型代表符号中（1,1）代表( )短路类型。 ",三相短路,两相短路,两相短路接地,单相接地短路,C
在空载电动势Eq保持不变的情况下，隐极机的最大电磁功率出现在( )。 ,δ=90度,δ=180度,δ<90度,δ>90度,A
发电机作为电源，一般额定电压比线路额定电压高( )，以补偿输电过程的电压损耗。 ,3%,5%,10%,±5%,B
变压器等效电路中，电阻RT的物理意义表征的是( )。 ,铁损,主磁通,铜损,激磁阻抗,C
对于两相短路，其复合序网的连接是( )。 ,正序和负序并联,正序负序零序串联,正序负序零序并联,负序正序并联在和零序串联,A
频率的一次调整是由( )。 ,发电机组的调速器完成的,负荷的频率特性来完成,发电机组的调频系统完成的,有功功率的经济分配完成的,A
短路类型代表符号中（1）代表( )短路类型。 ,三相短路,两相短路,两相短路接地,单相接地短路,D
中性点非直接接地系统中用电设备的绝缘水平应该按照( )考虑。 ,相电压,2倍的相电压,线电压,3倍的线电压,C
构成电力网的主要设备有( )。 ,变压器、用电设备,变压器、电力线路,电缆、架空线,电阻、电容,B
系统频率上升将使原动机发出的有功功率( )。 ,增大,减小,不变,以上情况都有可能,B
逆调压是指( )。 ,最大负荷时，将电压中枢点电压升高，低谷负荷时将其降低,最大负荷时，将电压中枢点电压降低，低谷负荷时将其升高,最大负荷时和低谷负荷时将其降低,最大负荷时和低谷负荷时将其升高,A
短路类型代表符号中（2）代表( )短路类型。 ,三相短路,两相短路,两相短路接地,单相接地短路,B
中性点接地系统中发生不对称短路后，越靠近短路点，零序电压变化趋势为( )。 ,越高,越低,不变,无法判断,A
中性点不接地系统发生单相接地时，流过故障点电流为( )。 ,感性电流,容性电流,阻性电流,依据短路点的情况确定,B
在变压器的参数计算中，用空载试验特性数据求的是( )。 ,电抗和电导,电阻和电纳,电导和电纳,电阻和电抗,C
系统频率上升将使负荷所需要的有功功率( )。 ,增大,减小,不变,以上情况都有可能,A
电容器并联在系统中，它发出的无功功率与并联处的电压( )。 ,一次方成正比,平方成正比,立方成正比,无关,B
短路类型代表符号中（3）代表( )短路类型。 ,三相短路,两相短路,两相短路接地,单相接地短路,A
系统发生短路故障后，越靠近短路点，正序电压( )。 ,越低,越高,不变,不确定,A
( )电网采用中性点不直接接地方式。 ,35kV及以下,35kV及以上,ll0kV及以下,110kV及以上,A
在变压器的参数计算中，用短路试验特性数据求的是( )。 ,电抗和电导,电阻和电纳,电导和电纳,电阻和电抗,D
高压输电线路空载运行时，其首端电压比末端电压( )。 ,相等,高,低,以上情况都有可能,C
某台发电机额定容量400MW，调差系数0.05，则此发电机单位调节功率为( )MW/Hz。 ,200,220,160,$180,C
提高线路的额定电压等级，将有助于提高系统的( )。 ,参数对称性,稳定性,线性,非线性,B
对电力系统并列运行的暂态稳定性而言，最不利的短路故障是( )。 ,三相短路,单相接地短路,两相短路接地,两相短路,A
冲击系数Kim的数值变化范围是( )。 ,O≤Kim≤l,1≤Kim≤2,O≤Kim≤2,1≤Kim≤3,B
( )电网采用中性点直接接地方式 ,35kV及以下,35kV及以上,110kV及以下,110kV及以上,D
三相架空线相间距离越大，线路的电抗( )。 ,不变,越大,越小,以上都有可能,B
线路电压损耗是指线路的( )。 ,始末两端电压的向量差,端部母线实际电压与额定电压的数值差,末端空载电压与负载电压的数值差,始末端电压数值差,D
三绕组变压器的分接头，一般装在( )。 ,高压侧和中压侧,高压侧和低压侧,中压侧和低压侧,以上情况都有可能,A
电力系统中发生概率最多的短路故障是( )。 ,三相短路,两相短路,两相短路接地,单相接地短路,D
关于短路故障时正序电压、负序电压和零序电压的分布，下述说法中正确的是( )。 ,故障处正序电压、负序电压和零序电压均最高,发电机机端正序电压、负序电压、零序电压均为最高,发电机机端正序电压最高、短路点负序电压和零序电压最高,发电机中性点负序电压和零序电压最高，正序电压最低。,C
下列参数中与电抗单位相同的是( )。 ,电导,电阻,电纳,导纳,B
消弧线圈如果采用全补偿，可能会使系统( )。 ,失去稳定,产生谐振,接地电流增加,保护误动,B
采用分裂导线可以实现( )。 ,减小电抗,增大电阻,减小电纳,增大电抗,A
运转中的发电设备所留有的备用容量称为( )。 ,冷备用,热备用,检修备用,国民经济备用,B
最大负荷时，允许电压中枢点电压略低，最小负荷时允许电压中枢点略高，这种调压方式为( )。 ,顺调压,逆调压,常调压,恒调压,A
三相短路的短路电流只包含( )。 ,正序分量,负序分量,零序分量,反分量,A
利用对称分量法分析不对称短路时，基准相的选择原则是( )。 ,选择特殊相为基准相,选择A相为基准相,选择B相为基准相,选择C相为基准相,A
