question,answer,type
在变压器等值参数计算中，空载试验数据求的是( )。  A.电导 B.电纳 C.电阻 D.电抗,A、B,多选
电力网主要设备是( )。  A.发电机 B.变压器 C.电力线路 D.用户,B、C,多选
提高暂态稳定性的措施主要有( )。  A.快速切除故障 B.装设自动重合闸 C.设置开关站 D.减小原动机的机械功率,A、B、C、D,多选
联合电力系统的优势主要体现在( )。  A.提高供电可靠性和电能质量 B.可减少系统装机容量，提高设备利用率 C.便于安装大机组，降低造价 D.充分利用各种资源，提高运行经济性,A、B、C、D,多选
变压器的参数主要有( )。  A.电抗 B.电阻 C.电纳 D.电导,A、B、C、D,多选
输电线路通过电流时产生有功损耗参数的是( )。  A.电阻 B.电抗 C.电纳 D.电导,A、D,多选
SOC设计采用基于IP分离的可测性设计，具体的实现手段有 A.Distributed BIST B.Direct Access C.Test Bus D.Boundary Scan,B、C、D,多选
潮流计算的目的( )。  A.电网规划 B.设备选择 C.经济运行 D.调压计算,A、B、C、D,多选
以下问题描述中，哪些有可能通过可测性设计发现 A.制造误差 B.性能问题 C.制造故障 D.功能未满足顾客的需求,A、C,多选
电压调整的措施有( )。  A.改变变压器变比调压 B.改变发电机端电压调压 C.借补偿设备调压 D.改变线路的参数调压,A、B、C、D,多选
以下属于光刻工艺的为 A.光刻胶涂覆 B.曝光 C.显影 D.腐蚀,A、B、C、D,多选
电力系统由( )、用电构成。  A.发电 B.输电 C.变电 D.配电,A、B、C、D,多选
关于中性点非有效接地电网的中性点对地电压，下面说法中正确的是( )  A.正常运行情况下为零 B.单相接地故障时等于相电压 C.正常运行时为相电压 D.单相接地故障时为线电压,A、B,多选
避雷针、线的作用为使设备建筑物线路免遭直击雷，安全将雷电流引入大地而设置。,,问答
雷电过电压的分类,a.直击雷过电压b.感应雷过电压,问答
接地电阻接地装置对地电位u与通过接地极流入地中电流i的比值称为,接地电阻。,问答
数值比较器的定义,比较两个数字大小的各种逻辑电路。,问答
可以说CP信号是计数器的输入逻辑变量吗？,计数器的工作过程是每次时钟脉冲到来后便按照状态转换图一次从一个状态转换为下一个状态。时钟脉冲只是让计数器从一个状态转到下一个状态的操作信号，而计数器的具体状态与时钟信号没有任何逻辑关系。因此，时钟信号不是输入逻辑变量。,问答
切断空载线路过电压相关概念,a.切除空载线路是电网中常见操作之一 b.在切空载线路的过程中，虽然断路器切断的是几十安到几百安的电容电流，比短路电流小的多 c.如果使用的断路器灭弧能力不强，在切断这种电容电流时就可能出现电弧的重燃，从而引起电磁振荡，造成过电压。,问答
普通调幅波的数学表达式 UAMt=Ucm （1+Ma cosΩt）cosωct，为了实现不失真调幅，Ma 一般怎样。,Ma 一般 ≤1,问答
直配电机的防雷措施,a.避雷器保护b.电容器保护c.电缆段保护d.电抗器保护,问答
声表面波滤波器的优点,体积小、工作稳定、无需调试等。,问答
阀型避雷器特点,a、非线性绕组b、电流小，电阻大c、电流大，电路小,问答
现代通信系统中一般不采用将信号直接传输的工作方式，而是要,对信号进行调制后再送入信道传输。,问答
爬电比距 λ  ,指外绝缘“相—地”之间的爬电距离(cm) 与系统最高工作（线）电压（kv，有效值）之比。,问答
老化,电气设备的绝缘在长期运行过程中会发生一系列物理变化(如固体介质软化或熔解，低分子化合物及增塑剂的挥发)和化学变化(如氧化、电解、电离、生成新物质)，致使其电气、机械及其他性能逐渐劣化。  ,问答
当谐振功率放大器的输入激励信号为余弦波时，为什么集电极电流为余弦脉冲波形？但放大器为什么又能输出不失真的余弦波电压？,因为谐振功率放大器工作在丙类状态（导通时间小于半个周期） ，所以集电极电流为周期性余弦脉冲波形；但其负载为调谐回路谐振在基波频率，可选出 ic 的基波，故在负载两端得到的电压仍与信号同频的完整正弦波。,问答
丙类谐振功放有欠压、临界和过压三种工作状态，其性能可用什么来描述。,负载特性、调制特性和放大特性,问答
分离变量法的基本步骤有哪些,具体步骤是 1、先假定待求的位函数由两个或三个各自仅含有一个坐标变量的乘积所组成。2、把假定的函数代入拉氏方程，使原来的偏微分方程转换为两个或三个常微分方程。解这些方程，并利用给定的边界条件决定其中待定常数和函数后，最终即可解得待求的位函数。,问答
谐振功率放大器通常工作在 丙 类，此类功率放大器的工作原理是,当输入信号为余弦波时，其集电极电流为周期性余弦脉冲波，由于集电极负载的选频作用， 输出的是与输入信号频率相同的余弦波。,问答
若想提高电力系统暂态稳定性所要考虑的基本原则是什么？提高电力系统静态稳定性呢？,提高暂态稳定主要是增大减速面积减小加速面积。而提高静态稳定的措施主要是提高Kp值。当P0一定时则提高Pm而Pm=EV/X 则增大E和V，或减小X。,问答
电源电压不变，当电路的频率变化时，通过电感元件的电流发生变化吗？,频率变化时，感抗增大，所以电源电压不变，电感元件的电流将减小。,问答
湿闪电压,洁净的瓷表面被雨水淋湿时的沿面放电，相应的电压称为湿闪电压。 ,问答
介绍或非门,“或”运算后再进行“非”运算的复合运算称为“或非”运算，实现“或非”运算的逻辑电路称为或非门。,问答
试述提高功率因数的意义和方法。,提高功率因数可减少线路上的功率损耗，同时可提高电源设备的利用率，有利于国民经济的发展。提高功率因数的方法有两种：一是自然提高法，就是避免感性设备的空载和尽量减少其空载；二是人工补偿法，就是在感性线路两端并联适当的电容。,问答
为什么说当电力系统无功功率不充足时仅靠改变变压器变比分按头来调压并不能改变系统的电压水平？,通过调分接头实质是改变了电力网的无功分布，只能改善局部电压水平，同时却使系统中另个的某些局部电压水平变差并不能改变系统无功不足的状况因此就全系统总体来说并不能改变系统的电压水平。,问答
固体电介质的击穿,电击穿、热击穿、电化学击穿的击穿机理及特点,问答
避雷器的作用，分类，特点,作用防入侵雷电波（过电压波），它与被保护设备并联，入侵波来时，避雷器优先动作。分类间隙类避雷器又分为保护间隙（火花间隙）和管型避雷器。,问答
磁滞损耗和涡流损耗是什么原因引起的？它们的大小与哪些因素有关？,磁滞损耗：铁磁材料在交变磁场作用下反复磁化，磁畴会不停转动，相互间产生摩擦，消耗能量，产生功率损耗。 与磁场交变频率，磁通密度，材料，体积，厚度有关。涡流损耗：由电磁感应定律，硅钢片中有围绕磁通呈涡旋状的感应电动势和电流产生叫涡流，涡流在其流通路径上的等效电阻中产生的损耗叫涡流损耗。 与磁场交变频率，磁通密度，材料，体积，厚度有关。,问答
逻辑图形符号输入端的小圆圈的含义，怎样分析这种图形符号的逻辑功能。,在某些具体的逻辑电路中，有的输入逻辑变量是以低电平作为有效信号的。这时为了强调“低电平有效”，便在信号输入端画上小圆圈，并在信号名称上加“非”号。从逻辑功能上讲，这个小圆圈所代表的含义是输入信号经过反向后才加到后边的逻辑符号上的，所以它代替了输入端的一个反相器。	在分析这类逻辑图形符号的功能时，只要用反相器代替输入端的小圆圈就可以了。,问答
什么是右旋圆极化波和左旋圆极化波,将大拇指指向波的传播方向，其余的四指指向电场矢量顶点的旋转方向，符合右手螺旋关系的称为右旋（正旋）极化波，符合左手螺旋关系的称为左旋（反旋）极化波。,问答
避雷线的保护角,指避雷线和外侧导线的连线与避雷线的垂线之间的夹角，用来表示避雷线对导线的保护程度。保护角愈小，避雷线就愈可靠地保护导线免遭雷击。,问答
操作过电压,电力系统存在电感和电容，在操作过程或发生事故时会引起振荡过程，造成很高的过电压。,问答
锁相环路（PLL）是由组成,鉴相器、 环路滤波器和压控振荡器组成的负反馈环路。,问答
绕组中的波过程,a.变压器在雷电冲击波作用瞬间，可等值为一个电容，称为入口电容 b.在末端接地的单相绕组中，最大电压将出现在绕组首端附近，其值可达1.4U0 c.在末端不接地的单相绕组中，最大电压将出现在中性点附近，其值可达1.9U0 d.通过在绕组首端部位加一些电容环和电容匝以及增大纵向电容可降低电位梯度 e.三相变压器多相进波时的最大电位（星形接线、三角形接线） f.变压器绕组之间的波过程通过静电耦合和电磁耦合传递 g.旋转电机匝间绝缘上的电压与入侵波陡度成正比,问答
工频高电压的产生,a.通常采用高压试验变压器或其串级装置来产生。b.对电缆、电容器等电容量较大的被试品，可采用串联谐振回路来获得试验用的工频高电压。c.工频高压装置是高压试验室中最基本的设备，也是产生其他类型高电压的设备基础部件。,问答
变压器空载运行时的磁通是由什么电流产生的？主磁通和一次漏磁通在磁通路径、数量和与二次绕组的关系上有何不同？由此说明主磁通与漏磁通在变压器中的不同作用。,磁通是由一次绕组电流产生的；主磁通在铁心中闭合，磁阻很小，漏磁通只连一次绕组，不连二次绕组，经过空气磁路闭合，磁阻很大，数量上的比值E1与Es1之比；主磁通起传递能量的作用，漏磁通在绕组电路中产生电压降。,问答
变压器的入口电容,t=0瞬间，绕组相当于一电容链，此电容链可等值为一集中电容，称为变压器的入口电容。 ,问答
存储器和寄存器的区别,存储器和寄存器都是用来存储信息的，但它们的结构和工作是不同的。寄存器电路结构的特点是每个存储单元的输入和输出都接到一个引脚上，可以直接与外界连接，它可以最方便、快捷地与外电路交换数据。由于制作工艺的限制，集成电路的引脚数目不可能太多，所以每个寄存器的集成电路里包含的存储单元数目不会太大，无法实现大量数据的存储。存储器电路的结构特点是采用了公用的输入与输出电路，只有被输入地址代码指定的存储单元才能通过输入与输出电路的外电路数据交换。因此，就可以在不增加输入与输出引脚的条件下大量的增加集成电路内部的存储单元，制成大存储容量的存储器芯片。存储器的写入和读出操作就不像寄存器那样简单而直接。首先要输入指定地址的代码，经过地址译码器译码后找到对应的存储单元，然后才能对指定的存储单元进行写入或读出操作。,问答
编码器的逻辑功能,把输入的每一个高、低电平信号编成一个对应的二进制代码。,问答
保护角,保护角是指避雷线与所保护的外侧导线之间的连线与经过避雷线的铅垂线之间的夹角。,问答
什么是趋肤效应,趋肤效应当电磁波垂直进入良导体后，场强以及电流密度随着电磁波透入导体深度的增加而迅速衰减。场强以及电流密度主要分布在导体表面，这种现象就是所谓的“趋肤效应”。,问答
什么是介质损耗？为什么能用tanδ代替介质损耗？,在交流电压下，介质的有功功率损耗为介质损耗。当外加电压和频率一定时，P与戒指的物理电容C 成正比，对一定结构的试品而言，电容C 是定值，P与tanδ成正比，故对同类试品绝缘的优劣，可直接用tanδ代替介质损耗。,问答
无损耗单导线上的波过程,a.波速和波阻抗的计算公式 b.前行波(反行波)电压、电流之间的关系 c.线路中任意一点的电压(电流)等于前行波电压(电流)和反行波电压(电流)之和。d.波阻抗与电阻的区别,问答
现代防雷的措施,①架设避雷线②降低杆塔接地电阻③架设加强耦合地线④中性点非有效接地⑤加强线路绝缘⑥加强自动重合闸装置⑦加装线路用管型避雷器,问答
电流密度是一个矢量，它的方向与什么相同,导体中某点的正电荷的运动方向相同。,问答
与普通调幅波AM 相比，单边带调幅波SSB 的频谱只有,上边带或下边带。,问答
高斯定律说明静电场是一个,有散场。,问答
你能说出电阻和电抗的不同之处和相似之处吗？它们的单位相同吗？,电阻在阻碍电流时伴随着消耗，电抗在阻碍电流时无消耗，二者单位相同。,问答
LC并联谐振电路接在理想电压源上是否具有选频性？为什么？,LC并联谐振电路接在理想电压源上就不再具有选频性。因为理想电压源不随负载的变化而变化。,问答
气体击穿,气体由绝缘状态变为导电状态的现象称为击穿。,问答
锁相环路由什么组成，它的主要作用是什么。,锁相环路由鉴相器 、环路滤波器和电压控制振荡器组成，它的主要作用是用于实现两个电信号相位同步，即可实现无频率误差的频率跟踪。,问答
性能试验（非破坏性试验）,在较低电压作用下，测量设备一些电气性能参数，对设备无损伤，判定缺陷。,问答
先导过程,当气隙距离较长时，（约1m以上），存在某种新的，不同性质的放电过程，称为先导过程,问答
自恢复绝缘,发生击穿后，一旦去掉外加电压，能恢复其绝缘性能的绝缘。,问答
气体放电的主要形式,辉光放电 、 火花放电 、电弧放电 、电晕放电 、刷状放电,问答
绕组变压器的定义和使用方法,三绕组变压器除高压侧有分接头外，一般中压侧也有分接头可供选择。首先根据低压侧母线的调压要求，在高—低压绕组之间进行计算，选取高压侧的分接头电压，即变比 Uth/Un;然后根据中压侧母线的调压要求及选取的高压侧分接头电压Uth在高—中压侧绕组之间进行计算，选取中压侧的分接头电压Utm。确定变比为Uth/Utm/Un1 ,问答
极性电介质和非极性电介质,具有极性分子的电介质称为极性电介质。由中性分子构成的电介质。,问答
某油罐直径为10m ，高10米，现采用单根避雷针进行保护，避雷针距离油罐壁为5m，请问避雷针的高度应是多少？,解根据题意可知hx=10m，rx=10+5=15 m，求h=?当hx≥h 时，有rx=（h- hx）p 15=(h-10)×1解得 h=25m 因为h=25m时不满足hx≥h，所以应按hx＜h算rx=(1.5h-2hx)p 15=(1.5h-2hx) ×1解得h=23.3m 所以避雷针的高度至少应是23.3m.。,问答
通信系统中为什么要采用调制技术?,调制就是用待传输的基带信号去改变高频载波信号某一参数的过程。采用调制技术可使低频基带信号装载到高频载波信号上，从而缩短天线尺寸，易于天线辐射，实现远采距离传输；其次，采用调制可以进行频分多路通信，实现信道的复用，提高信道利用率。,问答
地面落雷密度,每一雷暴日每平方千米地面遭受雷击的次数，以γ表示。,问答
什么叫周期性的非正弦波，你能举出几个实际中的非正弦周期波的例子吗？,周而复始地重复前面循环的非正弦量均可称为周期性非正弦波，如等腰三角波、矩形方波及半波整流等。,问答
介绍或运算,“或”运算是一种二元运算，它定义了变量 A、B 与函数 F 的另一种关系。用语句来描述它，这就是：只要变量 A 和 B 中任何一个为 1，则函数 F 为 1；或者说：当且仅当变量A 和 B 均为 0 时，函数 F 才为 0。“或”运算又称为逻辑加，也叫逻辑和。其运算符号为“＋”。,问答
简述电力系统主要的无功电源及无功功率负荷有哪些？,电力系统的无功电源向系统发出滞后的无功功率，一般系统中有以下几类无功电源，一是同步发电机以及过激运行的同步电动机；二是无功补偿电源包括电容器、静止无功补偿器和同步调相机；三是110kV及以上电压线路的充电功率。系统中无功功率负荷主要有以下几类，1）用户与发电厂厂用电的无功负荷（主要是异步电动机）；2）线路和变压器的无功损耗；3）并联电抗器的无功损耗。,问答
触发器的电路结构和逻辑功能之间的关系。,触发器的电路结构和逻辑功能是两个不同的概念，两者没有固定的对应关系。同一逻辑功能的触发器可以用不同的电路结构实现，电路结构不同，动作特点不同；用同一种电路结构形式可以实现不同的逻辑功能的触发器。例如：有同步RS触发器、主从RS触发器、维持阻塞结构RS触发器，它们在稳态下的逻辑功能相同，但电路结构不同，动作特点不同。又如维持阻塞结构可以做成D触发器，也可做成JK触发器。,问答
电源输出的功率由两部分组成，分别介绍,①一部分与负荷和线路阻抗有关、②第二部分与负荷无关，只与两端电源的电压差和线路阻抗有关，称为循环功率。 ,问答
当主磁通确定之后，异步电动机的励磁电流大小与什么有关? 根据任意两台同容量异步电动机励磁电流的大小可比较其主磁通的大小吗?为什么? ,当主磁通确定之后，异步电动机的励磁电流大小与定、转子之间的气隙大小有密切关系，气隙大也就是磁阻大，根据磁路欧姆定律，在磁通确定时，磁组大则磁动势大，也就是励磁电流大，所以一般异步电动机气隙较小，以使励磁减小，在主磁通相同时，气隙大小不同，励磁电流大小就不同，即不同大小的励磁电流可产生相同的主磁通。所以，根据励磁电流的大小并不能比较其主磁通的大小。,问答
根据巴申定律，在某一PS值下，击穿电压存在什么值。,极小值,问答
简述静态稳定和暂态稳定的区别，为什么简单系统的暂态稳定分析不能采用线性化的方法。,静态稳定：在小干扰下电力系统能否恢复到原来的稳定运行状态；暂态稳定：在大干扰下电力系统能否恢复到原来的运行状态或是过渡到新的稳定运行状态。因为受到大干扰，电力系统结构发生变化，运行参数发生变化。,问答
解决小信号谐振放大器稳定性问题的有效方法是。,采用共射-共基电路,问答
极高频的频率范围，波段名称，波长范围，符号，主要用途，传播媒介,30～300GHz 毫米波 10～1mm EHF射电天文、卫星通信、雷达 波导、空间直线传播（毫米波）,问答
简述电力系统稳态运行的基本要求?,三相电力系统满足统经济性运行的要求，每一台发电机的输出必须接近于预先设定值；必须确保联络线潮流低于线路热极限和电力系统稳定极限；必须保持某些中枢点母线上的电压水平在容许范围内，必要时用无功功率补偿计划来达到； 区域电网是互联系统的一部分，必须执行合同规定的输送至邻网的联络线功率计划； 用故障前的潮流控制策略使事故扰动效应最小化。,问答
锁相环路由什么组成，它的主要作用是什么,锁相环路由鉴相器、环路滤波器和压控振荡器组成，它的主要作用是用于实现两个电信号相位同步，即可实现无频率误差的频率跟踪。,问答
小信号谐振放大器与谐振功率放大器的主要区别是什么？,1）小信号谐振放大器的作用是选频和放大，它必须工作在甲类工作状态；而谐振功率放大器为了提高效率，一般工作在丙类状态。2）两种放大器的分析方法不同： 前者输入信号小采用线性高频等效电路分析法， 而后者输入信号大采用折线分析法。,问答
在静电情况，导体内无电荷分布，电荷只分布在表面上么,正确。,问答
电子崩,外界电离因子在阴极附近产生一个初始电子如果空间的电场强度足够大，该电子在向阳极运动时就会引起碰撞电离，产生出一个新电子，初始电子和新电子继续向阳极运动，又会引起新的碰撞电离，产生出更多的电子。依次类推，电子数将按几何级数不断增多，像雪崩似的发展，这种急剧增大的空间电流被称为电子崩。 ,问答
请解释励磁磁动势,同步发电机的励磁绕组通常在转子上，当励磁绕组中通入直流电流后，产生的磁动势。,问答
巴申定律的应用,通过增加或者减少气体的压力来提高气体的绝缘强度。如高压直流二极管（增加气体的压力）。减小气体的压力用真空断路器。,问答
避雷线（地线）防雷原理及保护范围,a.避雷线的防雷原理与避雷针相同，主要用于输电线路的保护，b.可用来保护发电厂和变电所，近年来许多国家采用避雷线保护500kV大型超高压变电所。c.用于输电线路时，避雷线除了防止雷电直击导线外，同时还有分流作用，以减少流经杆塔入地的雷电流从而降低塔顶电位。d.避雷线对导线的耦合作用还可以降低导线上的感应雷过电压。 e.单根及双根避雷线的保护原理,问答
介质损耗角,绝缘在交变电压作用下比损耗大小的特征参数,问答
工频高压试验的实施方法,a.按规定的升压速度提升作用在被测试品TO上的电压，直到等于所需的试验电压U为止，这时开始计算时间。b.为了让有缺陷的试品绝缘来得及发展局部放电或完全击穿，达到U后还要保持一段时间，一般取一分钟。c.如果在此期间没有发现绝缘击穿或局部损伤（可通过声响、分解出气体、冒烟、电压表指针剧烈摆动、电流表指示急剧增大等异常现象作出判断）的情况，即可认为该试品的工频耐压试验合格通过。,问答
介质损耗角 δ, 为功率因数角 φ 的余角，其正切 tgδ 又可称为介质损耗因数，常用百分数（%）来表示。,问答
什么是矢量磁位 A? 什么是磁感应强度 B? ,B=0 B=*A(*A)=0，矢量磁位 A 是一个辅助性矢量。磁感应强度 B 是描述磁场强弱和方向的基本物理量,问答
调频电路有哪两种方式。,直接调频、间接调频,问答
模拟乘法器的应用很广泛，主要可用来,实现调幅、解调和混频等频谱搬移电路中。,问答
什么是自感现象与互感现象。,当流过一个线圈中的电流发生变化时，在线圈本身所引起的电磁感应现象称 自感 现象，若本线圈电流变化在相邻线圈中引起感应电压，则称为互感现象。,问答
电击穿（依据电子崩理论）特点,a、击穿时间极短 b、击穿电压值高,问答
非自持放电,需要依靠外界游离因素支持的放电称为非自持放电。,问答
冲击电压,持续时间极短，非周期性，幅值极高的电压。,问答
吸收比,指被试品加压60秒时的绝缘电阻与加压15秒时的绝缘电阻之比。,问答
用分裂导线的目的是什么。,减小电量和电抗。,问答
三相异步电机运行状态的判别依据是什么？,0<s<1，电动机状态；s<0，发电机状态；s>1，电磁制动状态。,问答
振荡电路的正常工作应当同时满足什么,振幅平衡条件和相位平衡条件。此外还应当具备起振和稳幅的机理。,问答
电介质的介电常数代表,电介质极化程度，其中气体D=1 水D=81 蓖麻油 D=4.2,问答
电介质的极化,电介质在电场作用下产生的束缚电荷的弹性位移和偶极子的转向位移现象。,问答
电力系统频率的一次调整指的是什么？能否做到频率的无差调节？,负荷变化引起频率偏差时，系统中凡装有调速器又留有可调容量的发电机组都自动参加频率调整，这就是电力系统频率的一次调整。电力系统频率的一次调整只能做到有差调节。,问答
数 8 的4bit补码是?,8的4位二进制表示是 1000。对于正数的补码表示，补码和原码相同，因此8的4位补码仍然是 1000。,问答
